id,propertyType,title,locationId,price,size,hasParking,roomNumber,bathNumber,hasSwimmingPool,hasTerrace,hasGarden,hasLift,isGoodCondition,isNeedsRenovating,isNewDevelopment,featureTags,heatingType,interiorExterior,floor,area_name
98096005,chalet,casa o chalet en venta en rejas,0-EU-ES-28-07-001-079-20,675000,310.0,1,4,3,1,0,1,0,1,0,0,['Lujo'],no info,does not apply,does not apply,San Blas
98192542,piso,piso en venta en calle de tembleque,0-EU-ES-28-07-001-079-10,164000,65.0,0,2,1,0,1,0,1,1,0,0,[],Calefacción central: Gasoil,exterior,planta 6ª,Latina
98188839,piso,"dúplex en venta en avenida de la moncloa, 16",0-EU-ES-28-07-001-079-09,1090000,354.0,1,4,4,1,1,1,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 3ª,Moncloa
98464740,piso,"piso en venta en calle de campomanes, 11",0-EU-ES-28-07-001-079-01,740000,148.0,0,4,3,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 2ª,Centro
98477363,piso,piso en venta en calle de montánchez,0-EU-ES-28-07-001-079-13,143000,99.0,0,3,2,0,1,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 2ª,Puente de Vallecas
96911130,piso,"ático en venta en calle orión, 22",0-EU-ES-28-07-001-079-21,225000,70.0,1,2,1,0,0,0,1,1,0,0,[],Calefacción individual: Eléctrica,exterior,planta 2ª,Barajas
89664330,piso,"piso en venta en calle de francos rodríguez, 24",0-EU-ES-28-07-001-079-06,340000,93.0,0,3,2,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Tetuán
98029436,piso,piso en venta en nueva españa,0-EU-ES-28-07-001-079-05,1700000,190.0,1,4,3,0,1,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 1ª,Chamartín
91141137,piso,piso en venta en los cármenes,0-EU-ES-28-07-001-079-10,165900,78.0,0,2,1,0,0,1,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Latina
97250867,piso,"piso en venta en paseo eduardo dato, 11",0-EU-ES-28-07-001-079-07,4300000,378.0,1,4,5,0,1,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 2ª,Chamberí
94748688,piso,piso en venta en calle de vallehermoso,0-EU-ES-28-07-001-079-07,1199000,234.0,1,4,2,0,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 3ª,Chamberí
98252710,piso,piso en venta en calle de castelló,0-EU-ES-28-07-001-079-04,1350000,176.0,1,3,3,0,0,0,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 4ª,Barrio de Salamanca
97175126,piso,piso en venta en canillejas,0-EU-ES-28-07-001-079-20,123000,69.0,0,1,1,0,0,0,0,1,0,0,[],No dispone de calefacción,exterior,planta 4ª,San Blas
96049959,piso,piso en venta en calle ramón azorín,0-EU-ES-28-07-001-079-10,145000,70.0,0,3,1,0,1,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Latina
98017073,piso,piso en venta en calle de toledo,0-EU-ES-28-07-001-079-01,369000,92.0,0,3,2,0,1,0,1,0,1,0,[],Calefacción central: Gas,interior,planta 3ª,Centro
92180061,piso,piso en venta en vallehermoso,0-EU-ES-28-07-001-079-07,1390000,336.0,1,7,4,0,1,0,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 6ª,Chamberí
95727650,piso,piso en venta en calle tudescos,0-EU-ES-28-07-001-079-01,859000,135.0,0,5,5,0,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 2ª,Centro
97920652,piso,"piso en venta en avenida de logroño, 126",0-EU-ES-28-07-001-079-21,285000,90.0,0,5,2,0,1,1,0,0,1,0,[],Calefacción central: Gasoil,exterior,planta 3ª,Barajas
97529919,chalet,chalet pareado en venta en el viso,0-EU-ES-28-07-001-079-05,7800000,882.0,0,16,10,1,0,1,0,1,0,0,['Lujo'],no info,does not apply,does not apply,Chamartín
92983781,piso,piso en venta en calle antonio pérez,0-EU-ES-28-07-001-079-05,334300,76.0,0,2,2,0,0,0,0,1,0,0,[],no info,no info,no info,Chamartín
92095509,piso,piso en venta en malasaña-universidad,0-EU-ES-28-07-001-079-01,895000,157.0,0,5,5,0,0,0,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 1ª,Centro
94842458,piso,piso en venta en plaza de españa,0-EU-ES-28-07-001-079-09,1250000,163.0,0,2,2,1,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,no info,Moncloa
98183301,piso,"piso en venta en calle de maría de molina, 3",0-EU-ES-28-07-001-079-05,2300000,307.0,0,4,5,0,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 3ª,Chamartín
98487646,piso,"piso en venta en calle de gabriel lobo, 33",0-EU-ES-28-07-001-079-05,365000,69.0,0,2,1,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,interior,planta 2ª,Chamartín
97392299,piso,piso en venta en calle de la sierra de los filabres,0-EU-ES-28-07-001-079-13,115000,40.0,0,1,1,0,0,0,0,1,0,0,['Apartamento'],Calefacción individual: Eléctrica,exterior,planta 3ª,Puente de Vallecas
97120201,piso,"piso en venta en calle de ricardo ortiz, 30",0-EU-ES-28-07-001-079-15,395000,105.0,0,3,2,0,1,1,1,1,0,0,[],no info,exterior,planta 7ª,Ciudad Lineal
